sourceTaxonName,sourceTaxonRank,sourceTaxonSpeciesName,interactionTypeName,targetTaxonName,targetTaxonRank,targetTaxonSpeciesName,decimalLatitude,decimalLongitude,localityId,localityName,interaction_pair,interaction_pair_fraction,patch_name
Brycon melanopterus,species,Brycon melanopterus,eats,Quiina amazonica,species,Quiina amazonica,-1.1451111,-69.487222,Apaporis,Colombia,Brycon melanopterus_Quiina amazonica,5.252994732296882e-07,Patch_-5_0_-72_-68
Brycon melanopterus,species,Brycon melanopterus,eats,Bothriospora corymbosa,species,Bothriospora corymbosa,-1.1451111,-69.487222,Apaporis,Colombia,Bothriospora corymbosa_Brycon melanopterus,5.252994732296882e-07,Patch_-5_0_-72_-68
Brycon amazonicus,species,Brycon amazonicus,eats,Cecropia distachya,species,Cecropia distachya,-1.1451111,-69.487222,Apaporis,Colombia,Brycon amazonicus_Cecropia distachya,5.252994732296882e-07,Patch_-5_0_-72_-68
Brycon amazonicus,species,Brycon amazonicus,eats,Ficus americana,species,Ficus americana,-1.1451111,-69.487222,Apaporis,Colombia,Brycon amazonicus_Ficus americana,1.0505989464593764e-06,Patch_-5_0_-72_-68
Brycon melanopterus,species,Brycon melanopterus,eats,Alchornea discolor,species,Alchornea discolor,-1.1451111,-69.487222,Apaporis,Colombia,Alchornea discolor_Brycon melanopterus,5.252994732296882e-07,Patch_-5_0_-72_-68
Brycon falcatus,species,Brycon falcatus,eats,Zygia longifolia,species,Zygia longifolia,-1.275555,-69.73055,Caqueta,Colombia,Brycon falcatus_Zygia longifolia,5.252994732296882e-07,Patch_-5_0_-72_-68
Myloplus torquatus,species,Myloplus torquatus,eats,Oxandra leucodermis,species,Oxandra leucodermis,-1.275555,-69.73055,Caqueta,Colombia,Myloplus torquatus_Oxandra leucodermis,5.252994732296882e-07,Patch_-5_0_-72_-68
Brycon falcatus,species,Brycon falcatus,eats,Oxandra leucodermis,species,Oxandra leucodermis,-1.275555,-69.73055,Caqueta,Colombia,Brycon falcatus_Oxandra leucodermis,5.252994732296882e-07,Patch_-5_0_-72_-68
Brycon melanopterus,species,Brycon melanopterus,eats,Apeiba membranacea,species,Apeiba membranacea,-1.275555,-69.73055,Caqueta,Colombia,Apeiba membranacea_Brycon melanopterus,5.252994732296882e-07,Patch_-5_0_-72_-68
Brycon falcatus,species,Brycon falcatus,eats,Quiina amazonica,species,Quiina amazonica,-1.1451111,-69.487222,Apaporis,Colombia,Brycon falcatus_Quiina amazonica,5.252994732296882e-07,Patch_-5_0_-72_-68
Brycon amazonicus,species,Brycon amazonicus,eats,Genipa americana,species,Genipa americana,-1.275555,-69.73055,Caqueta,Colombia,Brycon amazonicus_Genipa americana,5.252994732296882e-07,Patch_-5_0_-72_-68
Brycon falcatus,species,Brycon falcatus,eats,Strychnos panurensis,species,Strychnos panurensis,-1.275555,-69.73055,Caqueta,Colombia,Brycon falcatus_Strychnos panurensis,5.252994732296882e-07,Patch_-5_0_-72_-68
